gene.ensembl	gene.sym
ENSMUSG00000021101	4930408O17Rik
ENSMUSG00000025783	4930412O13Rik
NA	4930415F15Rik
ENSMUSG00000082344	4930415H17Rik
ENSMUSG00000035387	4930415L06Rik
ENSMUSG00000022993	4930415O20Rik
ENSMUSG00000086422	4930421P07Rik
ENSMUSG00000026736	4930426L09Rik
NA	4930427A07Rik
ENSMUSG00000027157	4930430A15Rik
ENSMUSG00000046567	4930430F08Rik
ENSMUSG00000109147	4930431P19Rik
ENSMUSG00000046958	4930432E11Rik
ENSMUSG00000008129	4930432K21Rik
ENSMUSG00000074248	4930432M17Rik
ENSMUSG00000091692	4930433I11Rik
ENSMUSG00000022798	4930435E12Rik
ENSMUSG00000069873	4930438A08Rik
ENSMUSG00000053603	4930442H23Rik
ENSMUSG00000069712	4930444G20Rik
ENSMUSG00000067795	4930444P10Rik
ENSMUSG00000022288	4930447A16Rik
ENSMUSG00000021098	4930447C04Rik
ENSMUSG00000031182	4930447F04Rik
ENSMUSG00000082843	4930448K20Rik
ENSMUSG00000074589	4930449A18Rik
ENSMUSG00000079093	4930449I24Rik
ENSMUSG00000022543	4930451G09Rik
ENSMUSG00000045989	4930451I11Rik
ENSMUSG00000021747	4930452B06Rik
ENSMUSG00000059920	4930453N24Rik
ENSMUSG00000080907	4930455H04Rik
ENSMUSG00000056682	4930465K10Rik
ENSMUSG00000096265	4930467E23Rik
ENSMUSG00000068776	4930469B13Rik
ENSMUSG00000043583	4930470P17Rik
ENSMUSG00000096405	4930474N05Rik
ENSMUSG00000035651	4930480E11Rik
ENSMUSG00000050345	4930486L24Rik
ENSMUSG00000099476	4930488N24Rik
ENSMUSG00000055555	4930502E18Rik
ENSMUSG00000090202	4930503B20Rik
ENSMUSG00000072595	4930503E14Rik
ENSMUSG00000082612	4930503H13Rik
ENSMUSG00000044906	4930503L19Rik
ENSMUSG00000052642	4930504O13Rik
ENSMUSG00000040919	4930505A04Rik
ENSMUSG00000097129	4930507D05Rik
ENSMUSG00000062511	4930512M02Rik
ENSMUSG00000031270	4930513O06Rik
ENSMUSG00000049202	4930515G13Rik
ENSMUSG00000104819	4930515G16Rik
ENSMUSG00000090219	4930516K23Rik
ENSMUSG00000074629	4930518I15Rik
ENSMUSG00000090126	4930519F09Rik
ENSMUSG00000031325	4930519F16Rik
ENSMUSG00000029564	4930519G04Rik
ENSMUSG00000097602	4930519P11Rik
ENSMUSG00000060491	4930522H14Rik
ENSMUSG00000072762	4930522L14Rik
ENSMUSG00000090394	4930523C07Rik
ENSMUSG00000020299	4930524B15Rik
ENSMUSG00000035364	4930524J08Rik
ENSMUSG00000059663	4930524N10Rik
ENSMUSG00000085521	4930526A20Rik
ENSMUSG00000086377	4930529C04Rik
ENSMUSG00000047692	4930533K18Rik
NA	4930533O14Rik
ENSMUSG00000096969	4930535I16Rik
NA	4930538K18Rik
ENSMUSG00000048905	4930539E08Rik
ENSMUSG00000087279	4930544D05Rik
ENSMUSG00000036463	4930544G11Rik
ENSMUSG00000024546	4930546C10Rik
ENSMUSG00000029138	4930548H24Rik
NA	4930549C01Rik
ENSMUSG00000005131	4930550C14Rik
ENSMUSG00000046180	4930550L24Rik
ENSMUSG00000054351	4930553M12Rik
ENSMUSG00000096197	4930555G01Rik
ENSMUSG00000048559	4930555K19Rik
ENSMUSG00000034493	4930556J24Rik
NA	4930557A04Rik
ENSMUSG00000105734	4930558C23Rik
ENSMUSG00000086277	4930558K02Rik
ENSMUSG00000022518	4930562C15Rik
ENSMUSG00000051728	4930563D23Rik
