,orig.ident,nCount_RNA,nFeature_RNA,RNA_snn_res.0.8,seurat_clusters,pANN_0.25_0.09_205,DF.classifications_0.25_0.09_205,DF.classifications_0.25_0.09_179,pANN_0.25_0.09_149,DF.classifications_0.25_0.09_149,DF.classifications_0.25_0.09_130
Cell_1512,Cell,1557,663,2,2,0.0884146341463415,Singlet,Singlet,0.0884146341463415,Singlet,Singlet
Cell_1513,Cell,1903,874,3,3,0.125,Singlet,Singlet,0.125,Singlet,Singlet
Cell_1514,Cell,1757,873,3,3,0.146341463414634,Singlet,Singlet,0.146341463414634,Singlet,Singlet
Cell_1515,Cell,411,268,4,4,0.00304878048780488,Singlet,Singlet,0.00304878048780488,Singlet,Singlet
Cell_1516,Cell,2846,1092,0,0,0.307926829268293,Singlet,Singlet,0.307926829268293,Singlet,Singlet
Cell_1517,Cell,2419,1006,0,0,0.353658536585366,Doublet,Doublet,0.353658536585366,Singlet,Singlet
Cell_1518,Cell,2472,1057,0,0,0.289634146341463,Singlet,Singlet,0.289634146341463,Singlet,Singlet
Cell_1519,Cell,3002,1121,2,2,0.326219512195122,Singlet,Singlet,0.326219512195122,Singlet,Singlet
Cell_1520,Cell,544,366,3,3,0.0304878048780488,Singlet,Singlet,0.0304878048780488,Singlet,Singlet
Cell_1521,Cell,4088,1336,5,5,0.317073170731707,Singlet,Singlet,0.317073170731707,Singlet,Singlet
Cell_1522,Cell,2313,1006,0,0,0.271341463414634,Singlet,Singlet,0.271341463414634,Singlet,Singlet
Cell_1523,Cell,447,315,4,4,0.0304878048780488,Singlet,Singlet,0.0304878048780488,Singlet,Singlet
Cell_1524,Cell,2452,1039,5,5,0.204268292682927,Singlet,Singlet,0.204268292682927,Singlet,Singlet
Cell_1525,Cell,1543,731,0,0,0.13109756097561,Singlet,Singlet,0.13109756097561,Singlet,Singlet
Cell_1526,Cell,1118,653,6,6,0.106707317073171,Singlet,Singlet,0.106707317073171,Singlet,Singlet
Cell_1527,Cell,1078,657,6,6,0.161585365853659,Singlet,Singlet,0.161585365853659,Singlet,Singlet
Cell_1528,Cell,334,253,4,4,0.0213414634146341,Singlet,Singlet,0.0213414634146341,Singlet,Singlet
Cell_1529,Cell,364,270,4,4,0.0152439024390244,Singlet,Singlet,0.0152439024390244,Singlet,Singlet
Cell_1530,Cell,3039,1114,2,2,0.304878048780488,Singlet,Singlet,0.304878048780488,Singlet,Singlet
Cell_1531,Cell,2409,984,0,0,0.225609756097561,Singlet,Singlet,0.225609756097561,Singlet,Singlet
Cell_1532,Cell,3385,1241,5,5,0.25,Singlet,Singlet,0.25,Singlet,Singlet
Cell_1533,Cell,2186,974,1,1,0.182926829268293,Singlet,Singlet,0.182926829268293,Singlet,Singlet
Cell_1534,Cell,1578,772,0,0,0.149390243902439,Singlet,Singlet,0.149390243902439,Singlet,Singlet
Cell_1535,Cell,489,365,6,6,0.0548780487804878,Singlet,Singlet,0.0548780487804878,Singlet,Singlet
Cell_1536,Cell,383,281,4,4,0.0121951219512195,Singlet,Singlet,0.0121951219512195,Singlet,Singlet
Cell_1537,Cell,2772,1073,5,5,0.192073170731707,Singlet,Singlet,0.192073170731707,Singlet,Singlet
Cell_1538,Cell,2388,1020,3,3,0.195121951219512,Singlet,Singlet,0.195121951219512,Singlet,Singlet
Cell_1539,Cell,1408,783,6,6,0.234756097560976,Singlet,Singlet,0.234756097560976,Singlet,Singlet
Cell_1540,Cell,2185,895,2,2,0.155487804878049,Singlet,Singlet,0.155487804878049,Singlet,Singlet
Cell_1541,Cell,673,392,2,2,0.0396341463414634,Singlet,Singlet,0.0396341463414634,Singlet,Singlet
Cell_1542,Cell,2641,1048,1,1,0.143292682926829,Singlet,Singlet,0.143292682926829,Singlet,Singlet
Cell_1543,Cell,3817,1252,5,5,0.259146341463415,Singlet,Singlet,0.259146341463415,Singlet,Singlet
Cell_1544,Cell,2094,894,2,2,0.161585365853659,Singlet,Singlet,0.161585365853659,Singlet,Singlet
Cell_1545,Cell,670,449,4,4,0.0670731707317073,Singlet,Singlet,0.0670731707317073,Singlet,Singlet
Cell_1546,Cell,1263,668,2,2,0.100609756097561,Singlet,Singlet,0.100609756097561,Singlet,Singlet
Cell_1547,Cell,353,242,6,6,0.00304878048780488,Singlet,Singlet,0.00304878048780488,Singlet,Singlet
Cell_1548,Cell,2315,973,7,7,0.280487804878049,Singlet,Singlet,0.280487804878049,Singlet,Singlet
Cell_1549,Cell,1856,869,3,3,0.106707317073171,Singlet,Singlet,0.106707317073171,Singlet,Singlet
Cell_1550,Cell,3102,1134,1,1,0.195121951219512,Singlet,Singlet,0.195121951219512,Singlet,Singlet
Cell_1551,Cell,3331,1221,5,5,0.259146341463415,Singlet,Singlet,0.259146341463415,Singlet,Singlet
Cell_1552,Cell,6140,1578,5,5,0.329268292682927,Singlet,Singlet,0.329268292682927,Singlet,Singlet
