,orig.ident,nCount_RNA,nFeature_RNA,RNA_snn_res.0.8,seurat_clusters,pANN_0.25_0.09_205,DF.classifications_0.25_0.09_205,DF.classifications_0.25_0.09_179,pANN_0.25_0.09_149,DF.classifications_0.25_0.09_149,DF.classifications_0.25_0.09_130
Cell_2012,Cell,380,277,4,4,0.0152439024390244,Singlet,Singlet,0.0152439024390244,Singlet,Singlet
Cell_2013,Cell,1482,661,2,2,0.0762195121951219,Singlet,Singlet,0.0762195121951219,Singlet,Singlet
Cell_2014,Cell,3359,1160,1,1,0.140243902439024,Singlet,Singlet,0.140243902439024,Singlet,Singlet
Cell_2015,Cell,3165,1126,1,1,0.11890243902439,Singlet,Singlet,0.11890243902439,Singlet,Singlet
Cell_2016,Cell,509,319,4,4,0.0152439024390244,Singlet,Singlet,0.0152439024390244,Singlet,Singlet
Cell_2017,Cell,761,472,4,4,0.0396341463414634,Singlet,Singlet,0.0396341463414634,Singlet,Singlet
Cell_2018,Cell,2453,982,0,0,0.13719512195122,Singlet,Singlet,0.13719512195122,Singlet,Singlet
Cell_2019,Cell,6073,1523,5,5,0.298780487804878,Singlet,Singlet,0.298780487804878,Singlet,Singlet
Cell_2020,Cell,752,455,4,4,0.0426829268292683,Singlet,Singlet,0.0426829268292683,Singlet,Singlet
Cell_2021,Cell,5972,1518,5,5,0.265243902439024,Singlet,Singlet,0.265243902439024,Singlet,Singlet
Cell_2022,Cell,4379,1331,1,1,0.265243902439024,Singlet,Singlet,0.265243902439024,Singlet,Singlet
Cell_2023,Cell,4565,1433,5,5,0.265243902439024,Singlet,Singlet,0.265243902439024,Singlet,Singlet
Cell_2024,Cell,2171,924,3,3,0.106707317073171,Singlet,Singlet,0.106707317073171,Singlet,Singlet
Cell_2025,Cell,340,244,8,8,0.0548780487804878,Singlet,Singlet,0.0548780487804878,Singlet,Singlet
Cell_2026,Cell,788,491,6,6,0.0853658536585366,Singlet,Singlet,0.0853658536585366,Singlet,Singlet
Cell_2027,Cell,4311,1298,1,1,0.161585365853659,Singlet,Singlet,0.161585365853659,Singlet,Singlet
Cell_2028,Cell,739,440,4,4,0.0426829268292683,Singlet,Singlet,0.0426829268292683,Singlet,Singlet
Cell_2029,Cell,4909,1420,0,0,0.353658536585366,Doublet,Doublet,0.353658536585366,Singlet,Singlet
Cell_2030,Cell,1958,907,3,3,0.152439024390244,Singlet,Singlet,0.152439024390244,Singlet,Singlet
Cell_2031,Cell,3403,1230,0,0,0.356707317073171,Doublet,Doublet,0.356707317073171,Singlet,Singlet
Cell_2032,Cell,557,407,4,4,0.0304878048780488,Singlet,Singlet,0.0304878048780488,Singlet,Singlet
Cell_2033,Cell,5445,1623,5,5,0.350609756097561,Doublet,Singlet,0.350609756097561,Singlet,Singlet
Cell_2034,Cell,5604,1598,5,5,0.356707317073171,Doublet,Doublet,0.356707317073171,Singlet,Singlet
Cell_2035,Cell,2351,950,0,0,0.24390243902439,Singlet,Singlet,0.24390243902439,Singlet,Singlet
Cell_2036,Cell,2452,1037,3,3,0.240853658536585,Singlet,Singlet,0.240853658536585,Singlet,Singlet
Cell_2037,Cell,2839,1106,2,2,0.36890243902439,Doublet,Doublet,0.36890243902439,Doublet,Doublet
Cell_2038,Cell,3316,1201,0,0,0.36890243902439,Doublet,Doublet,0.36890243902439,Doublet,Doublet
Cell_2039,Cell,3054,1176,3,3,0.216463414634146,Singlet,Singlet,0.216463414634146,Singlet,Singlet
Cell_2040,Cell,1326,732,7,7,0.195121951219512,Singlet,Singlet,0.195121951219512,Singlet,Singlet
Cell_2041,Cell,2969,1137,2,2,0.231707317073171,Singlet,Singlet,0.231707317073171,Singlet,Singlet
Cell_2042,Cell,4055,1317,5,5,0.292682926829268,Singlet,Singlet,0.292682926829268,Singlet,Singlet
Cell_2043,Cell,3473,1209,0,0,0.378048780487805,Doublet,Doublet,0.378048780487805,Doublet,Doublet
Cell_2044,Cell,5921,1576,0,0,0.399390243902439,Doublet,Doublet,0.399390243902439,Doublet,Doublet
Cell_2045,Cell,1398,755,6,6,0.246951219512195,Singlet,Singlet,0.246951219512195,Singlet,Singlet
Cell_2046,Cell,4568,1331,1,1,0.25609756097561,Singlet,Singlet,0.25609756097561,Singlet,Singlet
Cell_2047,Cell,3211,1207,7,7,0.353658536585366,Doublet,Doublet,0.353658536585366,Singlet,Singlet
Cell_2048,Cell,2008,908,2,2,0.246951219512195,Singlet,Singlet,0.246951219512195,Singlet,Singlet
Cell_2049,Cell,6955,1685,5,5,0.36890243902439,Doublet,Doublet,0.36890243902439,Doublet,Doublet
Cell_2050,Cell,4588,1381,1,1,0.265243902439024,Singlet,Singlet,0.265243902439024,Singlet,Singlet
Cell_2051,Cell,672,451,8,8,0.100609756097561,Singlet,Singlet,0.100609756097561,Singlet,Singlet
Cell_2052,Cell,948,507,2,2,0.0365853658536585,Singlet,Singlet,0.0365853658536585,Singlet,Singlet
Cell_2053,Cell,4310,1329,5,5,0.234756097560976,Singlet,Singlet,0.234756097560976,Singlet,Singlet
Cell_2054,Cell,2700,1062,0,0,0.320121951219512,Singlet,Singlet,0.320121951219512,Singlet,Singlet
Cell_2055,Cell,2615,1069,2,2,0.344512195121951,Singlet,Singlet,0.344512195121951,Singlet,Singlet
Cell_2056,Cell,1733,854,7,7,0.240853658536585,Singlet,Singlet,0.240853658536585,Singlet,Singlet
Cell_2057,Cell,3448,1166,0,0,0.326219512195122,Singlet,Singlet,0.326219512195122,Singlet,Singlet
Cell_2058,Cell,1438,701,2,2,0.143292682926829,Singlet,Singlet,0.143292682926829,Singlet,Singlet
Cell_2059,Cell,2223,923,0,0,0.216463414634146,Singlet,Singlet,0.216463414634146,Singlet,Singlet
Cell_2060,Cell,1111,614,0,0,0.0274390243902439,Singlet,Singlet,0.0274390243902439,Singlet,Singlet
Cell_2061,Cell,2173,863,2,2,0.152439024390244,Singlet,Singlet,0.152439024390244,Singlet,Singlet
Cell_2062,Cell,1093,604,2,2,0.0792682926829268,Singlet,Singlet,0.0792682926829268,Singlet,Singlet
Cell_2063,Cell,4779,1439,5,5,0.292682926829268,Singlet,Singlet,0.292682926829268,Singlet,Singlet
Cell_2064,Cell,1492,701,2,2,0.140243902439024,Singlet,Singlet,0.140243902439024,Singlet,Singlet
Cell_2065,Cell,747,464,4,4,0.0365853658536585,Singlet,Singlet,0.0365853658536585,Singlet,Singlet
Cell_2066,Cell,4894,1457,5,5,0.274390243902439,Singlet,Singlet,0.274390243902439,Singlet,Singlet
Cell_2067,Cell,1930,881,0,0,0.207317073170732,Singlet,Singlet,0.207317073170732,Singlet,Singlet
Cell_2068,Cell,3837,1301,5,5,0.277439024390244,Singlet,Singlet,0.277439024390244,Singlet,Singlet
Cell_2069,Cell,750,474,6,6,0.0335365853658537,Singlet,Singlet,0.0335365853658537,Singlet,Singlet
Cell_2070,Cell,1340,629,2,2,0.0762195121951219,Singlet,Singlet,0.0762195121951219,Singlet,Singlet
Cell_2071,Cell,1252,631,2,2,0.109756097560976,Singlet,Singlet,0.109756097560976,Singlet,Singlet
Cell_2072,Cell,1919,890,0,0,0.24390243902439,Singlet,Singlet,0.24390243902439,Singlet,Singlet
Cell_2073,Cell,6880,1676,5,5,0.320121951219512,Singlet,Singlet,0.320121951219512,Singlet,Singlet
Cell_2074,Cell,618,416,4,4,0.0426829268292683,Singlet,Singlet,0.0426829268292683,Singlet,Singlet
Cell_2075,Cell,2347,943,1,1,0.11890243902439,Singlet,Singlet,0.11890243902439,Singlet,Singlet
Cell_2076,Cell,687,424,6,6,0.0213414634146341,Singlet,Singlet,0.0213414634146341,Singlet,Singlet
Cell_2077,Cell,4437,1329,1,1,0.179878048780488,Singlet,Singlet,0.179878048780488,Singlet,Singlet
Cell_2078,Cell,1350,644,2,2,0.0609756097560976,Singlet,Singlet,0.0609756097560976,Singlet,Singlet
Cell_2079,Cell,1759,814,3,3,0.109756097560976,Singlet,Singlet,0.109756097560976,Singlet,Singlet
Cell_2080,Cell,2926,1121,1,1,0.140243902439024,Singlet,Singlet,0.140243902439024,Singlet,Singlet
Cell_2081,Cell,3245,1270,0,0,0.448170731707317,Doublet,Doublet,0.448170731707317,Doublet,Doublet
Cell_2082,Cell,2685,1002,0,0,0.189024390243902,Singlet,Singlet,0.189024390243902,Singlet,Singlet
Cell_2083,Cell,2762,1044,1,1,0.128048780487805,Singlet,Singlet,0.128048780487805,Singlet,Singlet
Cell_2084,Cell,1885,868,3,3,0.0975609756097561,Singlet,Singlet,0.0975609756097561,Singlet,Singlet
Cell_2085,Cell,1758,716,2,2,0.0640243902439024,Singlet,Singlet,0.0640243902439024,Singlet,Singlet
Cell_2086,Cell,1393,733,7,7,0.106707317073171,Singlet,Singlet,0.106707317073171,Singlet,Singlet
Cell_2087,Cell,1634,766,0,0,0.0823170731707317,Singlet,Singlet,0.0823170731707317,Singlet,Singlet
Cell_2088,Cell,3811,1301,1,1,0.222560975609756,Singlet,Singlet,0.222560975609756,Singlet,Singlet
Cell_2089,Cell,6218,1624,5,5,0.371951219512195,Doublet,Doublet,0.371951219512195,Doublet,Doublet
Cell_2090,Cell,1990,932,3,3,0.185975609756098,Singlet,Singlet,0.185975609756098,Singlet,Singlet
Cell_2091,Cell,320,240,4,4,0.0121951219512195,Singlet,Singlet,0.0121951219512195,Singlet,Singlet
Cell_2092,Cell,579,394,6,6,0.0121951219512195,Singlet,Singlet,0.0121951219512195,Singlet,Singlet
Cell_2093,Cell,3029,1118,1,1,0.152439024390244,Singlet,Singlet,0.152439024390244,Singlet,Singlet
Cell_2094,Cell,2923,1105,1,1,0.11280487804878,Singlet,Singlet,0.11280487804878,Singlet,Singlet
Cell_2095,Cell,2393,894,2,2,0.109756097560976,Singlet,Singlet,0.109756097560976,Singlet,Singlet
Cell_2096,Cell,876,534,6,6,0.0487804878048781,Singlet,Singlet,0.0487804878048781,Singlet,Singlet
Cell_2097,Cell,1010,564,8,8,0.121951219512195,Singlet,Singlet,0.121951219512195,Singlet,Singlet
Cell_2098,Cell,348,263,4,4,0.0121951219512195,Singlet,Singlet,0.0121951219512195,Singlet,Singlet
Cell_2099,Cell,1251,663,7,7,0.0975609756097561,Singlet,Singlet,0.0975609756097561,Singlet,Singlet
Cell_2100,Cell,4971,1385,1,1,0.216463414634146,Singlet,Singlet,0.216463414634146,Singlet,Singlet
Cell_2101,Cell,363,250,4,4,0.00914634146341463,Singlet,Singlet,0.00914634146341463,Singlet,Singlet
Cell_2102,Cell,4203,1341,1,1,0.213414634146341,Singlet,Singlet,0.213414634146341,Singlet,Singlet
Cell_2103,Cell,786,479,6,6,0.0640243902439024,Singlet,Singlet,0.0640243902439024,Singlet,Singlet
Cell_2104,Cell,1288,650,3,3,0.0884146341463415,Singlet,Singlet,0.0884146341463415,Singlet,Singlet
Cell_2105,Cell,2389,986,1,1,0.109756097560976,Singlet,Singlet,0.109756097560976,Singlet,Singlet
Cell_2106,Cell,3556,1210,1,1,0.155487804878049,Singlet,Singlet,0.155487804878049,Singlet,Singlet
Cell_2107,Cell,580,379,6,6,0.0213414634146341,Singlet,Singlet,0.0213414634146341,Singlet,Singlet
Cell_2108,Cell,3597,1165,1,1,0.179878048780488,Singlet,Singlet,0.179878048780488,Singlet,Singlet
Cell_2109,Cell,1231,592,9,9,0.152439024390244,Singlet,Singlet,0.152439024390244,Singlet,Singlet
Cell_2110,Cell,4639,1391,5,5,0.286585365853659,Singlet,Singlet,0.286585365853659,Singlet,Singlet
Cell_2111,Cell,1097,577,7,7,0.0426829268292683,Singlet,Singlet,0.0426829268292683,Singlet,Singlet
Cell_2112,Cell,2410,895,2,2,0.146341463414634,Singlet,Singlet,0.146341463414634,Singlet,Singlet
Cell_2113,Cell,5746,1516,5,5,0.228658536585366,Singlet,Singlet,0.228658536585366,Singlet,Singlet
Cell_2114,Cell,5869,1461,1,1,0.240853658536585,Singlet,Singlet,0.240853658536585,Singlet,Singlet
Cell_2115,Cell,2294,935,2,2,0.143292682926829,Singlet,Singlet,0.143292682926829,Singlet,Singlet
Cell_2116,Cell,3477,1168,0,0,0.274390243902439,Singlet,Singlet,0.274390243902439,Singlet,Singlet
Cell_2117,Cell,3161,1214,7,7,0.365853658536585,Doublet,Doublet,0.365853658536585,Doublet,Singlet
Cell_2118,Cell,436,308,4,4,0.0152439024390244,Singlet,Singlet,0.0152439024390244,Singlet,Singlet
Cell_2119,Cell,2899,1079,0,0,0.26219512195122,Singlet,Singlet,0.26219512195122,Singlet,Singlet
Cell_2120,Cell,3106,1094,1,1,0.13719512195122,Singlet,Singlet,0.13719512195122,Singlet,Singlet
Cell_2121,Cell,5030,1463,5,5,0.253048780487805,Singlet,Singlet,0.253048780487805,Singlet,Singlet
Cell_2122,Cell,2845,1049,3,3,0.0853658536585366,Singlet,Singlet,0.0853658536585366,Singlet,Singlet
Cell_2123,Cell,3716,1255,1,1,0.225609756097561,Singlet,Singlet,0.225609756097561,Singlet,Singlet
Cell_2124,Cell,5796,1570,5,5,0.326219512195122,Singlet,Singlet,0.326219512195122,Singlet,Singlet
Cell_2125,Cell,1746,726,2,2,0.0823170731707317,Singlet,Singlet,0.0823170731707317,Singlet,Singlet
Cell_2126,Cell,3288,1164,1,1,0.13109756097561,Singlet,Singlet,0.13109756097561,Singlet,Singlet
Cell_2127,Cell,2265,886,2,2,0.149390243902439,Singlet,Singlet,0.149390243902439,Singlet,Singlet
Cell_2128,Cell,4230,1275,1,1,0.170731707317073,Singlet,Singlet,0.170731707317073,Singlet,Singlet
Cell_2129,Cell,2615,1083,0,0,0.344512195121951,Singlet,Singlet,0.344512195121951,Singlet,Singlet
Cell_2130,Cell,4061,1272,1,1,0.143292682926829,Singlet,Singlet,0.143292682926829,Singlet,Singlet
Cell_2131,Cell,941,536,3,3,0.0335365853658537,Singlet,Singlet,0.0335365853658537,Singlet,Singlet
Cell_2132,Cell,1674,780,3,3,0.0731707317073171,Singlet,Singlet,0.0731707317073171,Singlet,Singlet
Cell_2133,Cell,1484,709,7,7,0.0548780487804878,Singlet,Singlet,0.0548780487804878,Singlet,Singlet
Cell_2134,Cell,2288,951,1,1,0.0914634146341463,Singlet,Singlet,0.0914634146341463,Singlet,Singlet
Cell_2135,Cell,1858,858,1,1,0.11890243902439,Singlet,Singlet,0.11890243902439,Singlet,Singlet
Cell_2136,Cell,814,521,6,6,0.0670731707317073,Singlet,Singlet,0.0670731707317073,Singlet,Singlet
Cell_2137,Cell,1142,643,6,6,0.146341463414634,Singlet,Singlet,0.146341463414634,Singlet,Singlet
Cell_2138,Cell,1080,567,7,7,0.0335365853658537,Singlet,Singlet,0.0335365853658537,Singlet,Singlet
Cell_2139,Cell,2225,921,0,0,0.189024390243902,Singlet,Singlet,0.189024390243902,Singlet,Singlet
Cell_2140,Cell,3125,1098,1,1,0.13109756097561,Singlet,Singlet,0.13109756097561,Singlet,Singlet
Cell_2141,Cell,5438,1514,5,5,0.304878048780488,Singlet,Singlet,0.304878048780488,Singlet,Singlet
Cell_2142,Cell,353,271,4,4,0.0121951219512195,Singlet,Singlet,0.0121951219512195,Singlet,Singlet
Cell_2143,Cell,2354,881,2,2,0.134146341463415,Singlet,Singlet,0.134146341463415,Singlet,Singlet
Cell_2144,Cell,1063,537,2,2,0.0274390243902439,Singlet,Singlet,0.0274390243902439,Singlet,Singlet
Cell_2145,Cell,889,491,6,6,0.0213414634146341,Singlet,Singlet,0.0213414634146341,Singlet,Singlet
Cell_2146,Cell,2928,1070,1,1,0.128048780487805,Singlet,Singlet,0.128048780487805,Singlet,Singlet
Cell_2147,Cell,3155,1102,1,1,0.143292682926829,Singlet,Singlet,0.143292682926829,Singlet,Singlet
Cell_2148,Cell,2334,919,0,0,0.11280487804878,Singlet,Singlet,0.11280487804878,Singlet,Singlet
Cell_2149,Cell,978,552,6,6,0.0701219512195122,Singlet,Singlet,0.0701219512195122,Singlet,Singlet
Cell_2150,Cell,2319,973,3,3,0.13109756097561,Singlet,Singlet,0.13109756097561,Singlet,Singlet
Cell_2151,Cell,3194,1092,1,1,0.13719512195122,Singlet,Singlet,0.13719512195122,Singlet,Singlet
Cell_2152,Cell,1092,566,7,7,0.0548780487804878,Singlet,Singlet,0.0548780487804878,Singlet,Singlet
Cell_2153,Cell,1443,666,2,2,0.0457317073170732,Singlet,Singlet,0.0457317073170732,Singlet,Singlet
Cell_2154,Cell,413,289,4,4,0.0121951219512195,Singlet,Singlet,0.0121951219512195,Singlet,Singlet
Cell_2155,Cell,4360,1352,5,5,0.246951219512195,Singlet,Singlet,0.246951219512195,Singlet,Singlet
Cell_2156,Cell,10120,1926,5,5,0.36280487804878,Doublet,Doublet,0.36280487804878,Doublet,Singlet
Cell_2157,Cell,1841,819,1,1,0.11890243902439,Singlet,Singlet,0.11890243902439,Singlet,Singlet
Cell_2158,Cell,415,290,4,4,0.00914634146341463,Singlet,Singlet,0.00914634146341463,Singlet,Singlet
Cell_2159,Cell,694,426,4,4,0.0274390243902439,Singlet,Singlet,0.0274390243902439,Singlet,Singlet
Cell_2160,Cell,519,337,4,4,0.0213414634146341,Singlet,Singlet,0.0213414634146341,Singlet,Singlet
Cell_2161,Cell,387,275,4,4,0.0121951219512195,Singlet,Singlet,0.0121951219512195,Singlet,Singlet
Cell_2162,Cell,781,473,4,4,0.0304878048780488,Singlet,Singlet,0.0304878048780488,Singlet,Singlet
Cell_2163,Cell,588,382,6,6,0.0152439024390244,Singlet,Singlet,0.0152439024390244,Singlet,Singlet
Cell_2164,Cell,5865,1506,1,1,0.246951219512195,Singlet,Singlet,0.246951219512195,Singlet,Singlet
Cell_2165,Cell,2043,917,1,1,0.0945121951219512,Singlet,Singlet,0.0945121951219512,Singlet,Singlet
Cell_2166,Cell,915,551,3,3,0.0762195121951219,Singlet,Singlet,0.0762195121951219,Singlet,Singlet
Cell_2167,Cell,2208,926,1,1,0.11890243902439,Singlet,Singlet,0.11890243902439,Singlet,Singlet
Cell_2168,Cell,1619,736,0,0,0.109756097560976,Singlet,Singlet,0.109756097560976,Singlet,Singlet
Cell_2169,Cell,2576,1010,1,1,0.11280487804878,Singlet,Singlet,0.11280487804878,Singlet,Singlet
Cell_2170,Cell,975,577,3,3,0.0731707317073171,Singlet,Singlet,0.0731707317073171,Singlet,Singlet
Cell_2171,Cell,4859,1460,5,5,0.259146341463415,Singlet,Singlet,0.259146341463415,Singlet,Singlet
Cell_2172,Cell,341,260,4,4,0.00609756097560976,Singlet,Singlet,0.00609756097560976,Singlet,Singlet
Cell_2173,Cell,3476,1140,1,1,0.13109756097561,Singlet,Singlet,0.13109756097561,Singlet,Singlet
Cell_2174,Cell,1075,569,7,7,0.0304878048780488,Singlet,Singlet,0.0304878048780488,Singlet,Singlet
Cell_2175,Cell,1141,537,2,2,0.0457317073170732,Singlet,Singlet,0.0457317073170732,Singlet,Singlet
Cell_2176,Cell,845,463,6,6,0.0213414634146341,Singlet,Singlet,0.0213414634146341,Singlet,Singlet
Cell_2177,Cell,2732,1103,0,0,0.265243902439024,Singlet,Singlet,0.265243902439024,Singlet,Singlet
Cell_2178,Cell,1044,574,3,3,0.0518292682926829,Singlet,Singlet,0.0518292682926829,Singlet,Singlet
Cell_2179,Cell,2455,925,0,0,0.125,Singlet,Singlet,0.125,Singlet,Singlet
Cell_2180,Cell,1519,717,7,7,0.0945121951219512,Singlet,Singlet,0.0945121951219512,Singlet,Singlet
Cell_2181,Cell,2395,981,1,1,0.103658536585366,Singlet,Singlet,0.103658536585366,Singlet,Singlet
Cell_2182,Cell,3110,1120,1,1,0.11890243902439,Singlet,Singlet,0.11890243902439,Singlet,Singlet
Cell_2183,Cell,1216,662,3,3,0.115853658536585,Singlet,Singlet,0.115853658536585,Singlet,Singlet
Cell_2184,Cell,1911,879,7,7,0.176829268292683,Singlet,Singlet,0.176829268292683,Singlet,Singlet
Cell_2185,Cell,2416,1035,1,1,0.125,Singlet,Singlet,0.125,Singlet,Singlet
Cell_2186,Cell,1529,715,7,7,0.0670731707317073,Singlet,Singlet,0.0670731707317073,Singlet,Singlet
Cell_2187,Cell,512,351,6,6,0.0121951219512195,Singlet,Singlet,0.0121951219512195,Singlet,Singlet
Cell_2188,Cell,1658,760,2,2,0.121951219512195,Singlet,Singlet,0.121951219512195,Singlet,Singlet
Cell_2189,Cell,1714,760,2,2,0.106707317073171,Singlet,Singlet,0.106707317073171,Singlet,Singlet
Cell_2190,Cell,2559,1035,1,1,0.140243902439024,Singlet,Singlet,0.140243902439024,Singlet,Singlet
Cell_2191,Cell,1292,721,6,6,0.204268292682927,Singlet,Singlet,0.204268292682927,Singlet,Singlet
Cell_2192,Cell,3862,1289,1,1,0.179878048780488,Singlet,Singlet,0.179878048780488,Singlet,Singlet
Cell_2193,Cell,1887,806,2,2,0.140243902439024,Singlet,Singlet,0.140243902439024,Singlet,Singlet
Cell_2194,Cell,915,495,4,4,0.0457317073170732,Singlet,Singlet,0.0457317073170732,Singlet,Singlet
Cell_2195,Cell,1609,739,2,2,0.100609756097561,Singlet,Singlet,0.100609756097561,Singlet,Singlet
Cell_2196,Cell,2850,1092,7,7,0.320121951219512,Singlet,Singlet,0.320121951219512,Singlet,Singlet
Cell_2197,Cell,615,407,4,4,0.0182926829268293,Singlet,Singlet,0.0182926829268293,Singlet,Singlet
Cell_2198,Cell,495,350,4,4,0.024390243902439,Singlet,Singlet,0.024390243902439,Singlet,Singlet
Cell_2199,Cell,786,481,6,6,0.0487804878048781,Singlet,Singlet,0.0487804878048781,Singlet,Singlet
Cell_2200,Cell,1705,768,0,0,0.0731707317073171,Singlet,Singlet,0.0731707317073171,Singlet,Singlet
Cell_2201,Cell,11712,2009,5,5,0.365853658536585,Doublet,Doublet,0.365853658536585,Doublet,Singlet
Cell_2202,Cell,3205,1143,2,2,0.289634146341463,Singlet,Singlet,0.289634146341463,Singlet,Singlet
Cell_2203,Cell,7053,1695,5,5,0.36280487804878,Doublet,Doublet,0.36280487804878,Doublet,Singlet
Cell_2204,Cell,872,522,6,6,0.0884146341463415,Singlet,Singlet,0.0884146341463415,Singlet,Singlet
Cell_2205,Cell,3866,1278,1,1,0.207317073170732,Singlet,Singlet,0.207317073170732,Singlet,Singlet
Cell_2206,Cell,642,438,6,6,0.0609756097560976,Singlet,Singlet,0.0609756097560976,Singlet,Singlet
Cell_2207,Cell,2872,1170,1,1,0.234756097560976,Singlet,Singlet,0.234756097560976,Singlet,Singlet
Cell_2208,Cell,1774,835,0,0,0.140243902439024,Singlet,Singlet,0.140243902439024,Singlet,Singlet
Cell_2209,Cell,1829,790,2,2,0.125,Singlet,Singlet,0.125,Singlet,Singlet
Cell_2210,Cell,2117,938,0,0,0.25609756097561,Singlet,Singlet,0.25609756097561,Singlet,Singlet
Cell_2211,Cell,5836,1569,5,5,0.301829268292683,Singlet,Singlet,0.301829268292683,Singlet,Singlet
Cell_2212,Cell,2700,1025,2,2,0.234756097560976,Singlet,Singlet,0.234756097560976,Singlet,Singlet
Cell_2213,Cell,290,225,4,4,0.00609756097560976,Singlet,Singlet,0.00609756097560976,Singlet,Singlet
Cell_2214,Cell,841,511,3,3,0.0762195121951219,Singlet,Singlet,0.0762195121951219,Singlet,Singlet
Cell_2215,Cell,3432,1215,3,3,0.240853658536585,Singlet,Singlet,0.240853658536585,Singlet,Singlet
Cell_2216,Cell,2569,1029,0,0,0.25,Singlet,Singlet,0.25,Singlet,Singlet
Cell_2217,Cell,1296,723,7,7,0.179878048780488,Singlet,Singlet,0.179878048780488,Singlet,Singlet
Cell_2218,Cell,339,261,4,4,0.00304878048780488,Singlet,Singlet,0.00304878048780488,Singlet,Singlet
Cell_2219,Cell,1754,794,7,7,0.121951219512195,Singlet,Singlet,0.121951219512195,Singlet,Singlet
Cell_2220,Cell,1669,824,0,0,0.182926829268293,Singlet,Singlet,0.182926829268293,Singlet,Singlet
Cell_2221,Cell,333,255,4,4,0.00609756097560976,Singlet,Singlet,0.00609756097560976,Singlet,Singlet
Cell_2222,Cell,2354,962,3,3,0.11280487804878,Singlet,Singlet,0.11280487804878,Singlet,Singlet
Cell_2223,Cell,647,410,6,6,0.0152439024390244,Singlet,Singlet,0.0152439024390244,Singlet,Singlet
Cell_2224,Cell,3236,1109,2,2,0.24390243902439,Singlet,Singlet,0.24390243902439,Singlet,Singlet
Cell_2225,Cell,2828,1047,0,0,0.204268292682927,Singlet,Singlet,0.204268292682927,Singlet,Singlet
Cell_2226,Cell,1117,641,7,7,0.146341463414634,Singlet,Singlet,0.146341463414634,Singlet,Singlet
Cell_2227,Cell,1836,808,0,0,0.149390243902439,Singlet,Singlet,0.149390243902439,Singlet,Singlet
Cell_2228,Cell,1986,917,3,3,0.11280487804878,Singlet,Singlet,0.11280487804878,Singlet,Singlet
Cell_2229,Cell,1244,673,3,3,0.0853658536585366,Singlet,Singlet,0.0853658536585366,Singlet,Singlet
Cell_2230,Cell,847,535,6,6,0.0914634146341463,Singlet,Singlet,0.0914634146341463,Singlet,Singlet
Cell_2231,Cell,2037,883,0,0,0.173780487804878,Singlet,Singlet,0.173780487804878,Singlet,Singlet
Cell_2232,Cell,394,294,4,4,0.0152439024390244,Singlet,Singlet,0.0152439024390244,Singlet,Singlet
Cell_2233,Cell,1395,650,0,0,0.0426829268292683,Singlet,Singlet,0.0426829268292683,Singlet,Singlet
Cell_2234,Cell,1896,857,0,0,0.121951219512195,Singlet,Singlet,0.121951219512195,Singlet,Singlet
Cell_2235,Cell,2697,1036,1,1,0.106707317073171,Singlet,Singlet,0.106707317073171,Singlet,Singlet
Cell_2236,Cell,435,307,4,4,0.0152439024390244,Singlet,Singlet,0.0152439024390244,Singlet,Singlet
Cell_2237,Cell,3854,1219,1,1,0.161585365853659,Singlet,Singlet,0.161585365853659,Singlet,Singlet
Cell_2238,Cell,1363,724,0,0,0.0884146341463415,Singlet,Singlet,0.0884146341463415,Singlet,Singlet
Cell_2239,Cell,647,437,6,6,0.0670731707317073,Singlet,Singlet,0.0670731707317073,Singlet,Singlet
Cell_2240,Cell,1361,634,2,2,0.0701219512195122,Singlet,Singlet,0.0701219512195122,Singlet,Singlet
Cell_2241,Cell,1392,672,0,0,0.0457317073170732,Singlet,Singlet,0.0457317073170732,Singlet,Singlet
Cell_2242,Cell,1501,760,3,3,0.0701219512195122,Singlet,Singlet,0.0701219512195122,Singlet,Singlet
Cell_2243,Cell,1789,785,2,2,0.106707317073171,Singlet,Singlet,0.106707317073171,Singlet,Singlet
Cell_2244,Cell,531,360,8,8,0.024390243902439,Singlet,Singlet,0.024390243902439,Singlet,Singlet
Cell_2245,Cell,1079,611,6,6,0.0792682926829268,Singlet,Singlet,0.0792682926829268,Singlet,Singlet
Cell_2246,Cell,445,292,4,4,0.00609756097560976,Singlet,Singlet,0.00609756097560976,Singlet,Singlet
Cell_2247,Cell,443,301,6,6,0.00914634146341463,Singlet,Singlet,0.00914634146341463,Singlet,Singlet
Cell_2248,Cell,1492,764,7,7,0.0975609756097561,Singlet,Singlet,0.0975609756097561,Singlet,Singlet
Cell_2249,Cell,2446,955,1,1,0.134146341463415,Singlet,Singlet,0.134146341463415,Singlet,Singlet
Cell_2250,Cell,1301,632,2,2,0.0457317073170732,Singlet,Singlet,0.0457317073170732,Singlet,Singlet
Cell_2251,Cell,422,307,4,4,0.0121951219512195,Singlet,Singlet,0.0121951219512195,Singlet,Singlet
Cell_2252,Cell,3123,1131,0,0,0.326219512195122,Singlet,Singlet,0.326219512195122,Singlet,Singlet
Cell_2253,Cell,2066,878,1,1,0.103658536585366,Singlet,Singlet,0.103658536585366,Singlet,Singlet
Cell_2254,Cell,1422,668,0,0,0.0670731707317073,Singlet,Singlet,0.0670731707317073,Singlet,Singlet
Cell_2255,Cell,490,344,6,6,0.00914634146341463,Singlet,Singlet,0.00914634146341463,Singlet,Singlet
